run_id,destruction_pct,protocol,accuracy
1,0,ours,91.064698720699
2,0,ours,100.0
3,0,ours,85.62929339097013
4,0,ours,85.00253764391884
5,0,ours,100.0
6,0,ours,100.0
7,0,ours,96.204519031364
8,0,ours,99.4657560593776
9,0,ours,100.0
10,0,ours,100.0
11,0,ours,100.0
12,0,ours,72.21426144563121
13,0,ours,99.34910550937278
14,0,ours,98.5533254192129
15,0,ours,100.0
16,0,ours,100.0
17,0,ours,60.03172366216493
18,0,ours,88.1782793835878
19,0,ours,100.0
20,0,ours,87.02590066211967
21,0,ours,85.27866523584088
22,0,ours,100.0
23,0,ours,100.0
24,0,ours,76.96340065437883
25,0,ours,84.63370227648595
26,0,ours,96.74357443087975
27,0,ours,99.82613621422907
28,0,ours,100.0
29,0,ours,94.61623859717999
30,0,ours,100.0
1,20,ours,79.31964841127497
2,20,ours,77.33675133492301
3,20,ours,51.38789431428928
4,20,ours,59.97757310503461
5,20,ours,76.83763026244071
6,20,ours,100.0
7,20,ours,70.00634447004434
8,20,ours,93.37028532177689
9,20,ours,73.41918012581729
10,20,ours,96.96240258514533
11,20,ours,51.57019890751113
12,20,ours,87.98570577304064
13,20,ours,65.35195540004247
14,20,ours,74.98339251931017
15,20,ours,69.31346996863067
16,20,ours,96.17785673465865
17,20,ours,97.72281211040418
18,20,ours,78.63947302344233
19,20,ours,96.93547606227959
20,20,ours,100.0
21,20,ours,92.52812097368647
22,20,ours,95.50892549430036
23,20,ours,91.15001340594155
24,20,ours,100.0
25,20,ours,100.0
26,20,ours,75.85125013641846
27,20,ours,65.23206545052417
28,20,ours,91.72403233337678
29,20,ours,100.0
30,20,ours,80.2135598345638
1,40,ours,100.0
2,40,ours,88.07627935791167
3,40,ours,89.05615268835626
4,40,ours,99.17791849979614
5,40,ours,100.0
6,40,ours,72.64022033055515
7,40,ours,87.85658900630932
8,40,ours,50.634903098030634
9,40,ours,77.59170850735819
10,40,ours,68.3573117421958
11,40,ours,66.49180957060817
12,40,ours,100.0
